Call Sign,Origin,Destination,EOBT,TOBT,CTOT,Stand Assignment
WMT3119,EKCH,ZZZZ,16:40,https://cdm.vatsim-scandinavia.org/vdgs,NIL,F7
SAS48D,EHAM,EKCH,16:45,18:05,NIL,D2
VKG295,EKCH,ZZZZ,17:00,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A27
KLM50K,EKCH,EHAM,17:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A15
SAS39C,ESSA,EKCH,17:10,18:10,NIL,D3
DLH6AX,EKCH,EDDF,17:10,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A26
BAW157,EKCH,ZZZZ,17:20,https://cdm.vatsim-scandinavia.org/vdgs,NIL,C27
SWR78A,EKCH,LSZH,17:20,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A11
TAP5CL,LPPT,EKCH,17:25,21:05,NIL,A23
LOT7RN,EKCH,EPWA,17:25,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A11
DLH3FJ,EKCH,EDDM,17:30,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A4
BAW817,EKCH,EGLL,17:45,https://cdm.vatsim-scandinavia.org/vdgs,NIL,C29
SAS2814,LEAL,EKCH,18:00,19:50,NIL,B9
AUA6Y,EKCH,LOWW,18:00,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A25
SAS1760,LDSP,EKCH,18:05,21:15,NIL,D1
THA950,VTBS,EKCH,18:10,05:40,NIL,C35
SAS649,EKCH,ZZZZ,18:30,https://cdm.vatsim-scandinavia.org/vdgs,NIL,E83
BAW441,EKCH,ZZZZ,18:35,https://cdm.vatsim-scandinavia.org/vdgs,NIL,C27
AFR67ZC,LFPG,EKCH,19:00,20:55,NIL,A22
DAT251,EKCH,ZZZZ,19:00,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A11
SAS428,ENGM,EKCH,19:05,20:05,NIL,E71
NSZ3152,EKCH,ZZZZ,19:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,A18
SAS747,EKCH,ZZZZ,19:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,E36
SAS2964,LIRQ,EKCH,19:15,20:30,NIL,A11
EZY105,EKCH,ZZZZ,19:15,https://cdm.vatsim-scandinavia.org/vdgs,NIL,F1
SK1410,EKCH,ESSA,19:25,https://cdm.vatsim-scandinavia.org/vdgs,NIL,E90
DLH533,EKCH,ZZZZ,20:05,https://cdm.vatsim-scandinavia.org/vdgs,NIL,C34
DAL218,KJFK,EKCH,20:30,04:30,NIL,C33
EZY1811,EKCH,ZZZZ,21:00,https://cdm.vatsim-scandinavia.org/vdgs,NIL,F4
SAS950,CYYZ,EKCH,21:10,05:05,NIL,C29
SAS910,KEWR,EKCH,21:15,05:05,NIL,C29
SAS928,KBOS,EKCH,21:40,05:05,NIL,E33
SAS1428,EKCH,ZZZZ,21:55,https://cdm.vatsim-scandinavia.org/vdgs,NIL,B9
QTR53W,OTBD,EKCH,22:50,04:55,NIL,E36
SAS916,KJFK,EKCH,22:55,06:40,NIL,C29
SAS938,KSEA,EKCH,23:00,08:50,NIL,E27
BOX611,EFHK,EKCH,,05:15,NIL,G127
SAS648,EDDH,EKCH,,05:20,NIL,B4
AFL133,ZZZZ,EKCH,,6:00,NIL,C30
GTI209,ZZZZ,EKCH,,6:00,NIL,G130
VCP585,ZZZZ,EKCH,,6:00,NIL,H105
DAL21B,ZZZZ,EKCH,,06:05,NIL,C28
LOT4MW,ZZZZ,EKCH,,06:05,NIL,A12
SAS984,ZZZZ,EKCH,,06:05,NIL,C36
