"FlightNumber","Airline","Terminal","Gate","ScheduledTime","AircraftType"
"RYR6852","Ryanair","2","F6","2025-07-29 18.20","B738"
"SAS597","SAS","3","B8","2025-07-29 18.20","N/A"
"SAS1257","SAS","3","E3","2025-07-29 18.20","N/A"
"FLI459","Atlantic Airways","2","A17","2025-07-29 18.35","A320"
"NOZ3646","Norwegian","2","D1","2025-07-29 18.40","N/A"
"RYR1785","Ryanair","2","82","2025-07-29 18.40","N/A"
"NOZ3298","Norwegian","2","D103","2025-07-29 18.55","N/A"
"FLI467","Atlantic Airways","2","A15","2025-07-29 19.00","N/A"
"CCA878","Air China LTD","3","C37","2025-07-29 19.05","N/A"
"KLM1276","KLM","2","A20","2025-07-29 19.05","N/A"
"SAS1470","SAS","3","D4","2025-07-29 19.05","N/A"
"DLH831","Lufthansa","2","A4","2025-07-29 19.10","N/A"
"SAS559","SAS","3","B6","2025-07-29 19.10","N/A"
"SAS1430","SAS","3","B4","2025-07-29 19.15","N/A"
"NOZ3638","Norwegian","2","A6","2025-07-29 19.20","N/A"
"THY1786","Turkish Airlines","2","C32","2025-07-29 19.20","N/A"
"FIN960","Finnair","2","122","2025-07-29 19.25","N/A"
"LOT462","LOT - Polish Airlines","2","A11","2025-07-29 19.25","N/A"
"DLH2443","Lufthansa","2","A12","2025-07-29 19.30","N/A"
"AFR1051","Air France","2","A9","2025-07-29 19.40","N/A"
"NOZ3504","Norwegian","2","D102","2025-07-29 19.40","N/A"
"NOZ3092","Norwegian","2","A8","2025-07-29 19.45","N/A"
"NOZ3564","Norwegian","2","147","2025-07-29 19.50","N/A"
"LDA9888","Lauda Europe","2","82","2025-07-29 19.50","N/A"
"NOZ5513","Norwegian","2","147","2025-07-29 19.55","N/A"
"IBS1824","Iberia Express","2","A22","2025-07-29 20.00","N/A"
"AUA306","Austrian","2","95","2025-07-29 20.00","N/A"
"KRP140","Carpatair","2","96","2025-07-29 20.10","N/A"
"RYR3566","Ryanair","2","82","2025-07-29 20.10","N/A"
"SAS412","SAS","3","31","2025-07-29 20.15","N/A"
"NOZ3234","Norwegian","2","147","2025-07-29 20.30","N/A"
"ITY1978","ITA Airways","2","82","2025-07-29 20.30","N/A"
"NOZ5077","Norwegian","2","147","2025-07-29 20.35","N/A"
"SAS1501","SAS","3","31","2025-07-29 20.40","N/A"
"NOZ3406","Norwegian","2","C30","2025-07-29 20.50","N/A"
"SAS1472","SAS","3","31","2025-07-29 20.55","N/A"
"WZZ3114","Wizz Air","2","82","2025-07-29 21.00","N/A"
"DLH2445","Lufthansa","2","95","2025-07-29 21.20","N/A"
"EZY5268","easyJet","2","82","2025-07-29 21.20","N/A"
"WZZ4074","Wizz Air","2","82","2025-07-29 21.20","N/A"
"EZY1264","easyJet","2","82","2025-07-29 21.30","N/A"
"LDA2881","Lauda Europe","2","82","2025-07-29 21.35","N/A"
"RYR746","Ryanair","2","82","2025-07-29 21.50","N/A"
"DTR54","Danish Air","2","127","2025-07-29 22.00","N/A"
"NOZ3098","Norwegian","2","147","2025-07-29 22.10","N/A"
"EZY2238","easyJet","2","82","2025-07-29 22.15","N/A"
"SAS2744","SAS","3","A6","2025-07-29 22.55","N/A"
"SAS753","SAS","3","B6","2025-07-29 23.00","N/A"
"SAS1428","SAS","3","A4","2025-07-29 23.00","N/A"
"SAS1474","SAS","3","B9","2025-07-29 23.00","N/A"
"SAS2874","SAS","3","A18","2025-07-29 23.00","N/A"
"SAS2884","SAS","3","A15","2025-07-29 23.00","N/A"
"SAS448","SAS","3","D1","2025-07-29 23.05","N/A"
"BRX1225","Braathens Regional","3","E4","2025-07-29 23.05","N/A"
"BRX1289","Braathens Regional","3","E5","2025-07-29 23.05","N/A"
"SAS1273","SAS","3","E3","2025-07-29 23.05","N/A"
"SAS1876","SAS","3","A21","2025-07-29 23.05","N/A"
